timestamp,acknowledgement
1709606334.239703,3196341380
1709606334.255194,3196341380
1709606335.199035,3196340984
1709606335.199104,3196340984
1709606335.242976,3196340984
1709606335.318959,3196340984
1709606335.324341,3196340984
1709606335.554126,3196340984
1709606335.554926,3196341083
1709606335.570312,3196341083
1709606335.570472,3196341083
1709606335.57089,3196341083
1709606335.570956,3196341083
1709606335.572248,3196341083
1709606335.572248,3196341083
1709606335.572499,3196341083
1709606335.572547,3196341083
1709606335.572576,3196341083
1709606335.572616,3196341083
1709606335.572654,3196341083
1709606335.572668,3196341083
1709606335.574881,3196341083
1709606335.574881,3196341083
1709606335.574881,3196341083
1709606335.574881,3196341083
1709606335.574881,3196341083
1709606335.574881,3196341083
1709606335.575104,3196341083
1709606335.575404,3196341083
1709606335.575626,3196341083
1709606335.575881,3196341083
1709606335.577077,3196341083
1709606335.577077,3196341083
1709606335.577153,3196341083
1709606335.577206,3196341083
1709606335.581298,3196341083
1709606335.589874,3196341083
1709606335.590032,3196341083
1709606335.590555,3196341083
1709606335.604817,3196341083
1709606335.615231,3196341083
1709606335.615231,3196341083
1709606335.615433,3196341083
1709606335.615531,3196341083
1709606335.618241,3196341083
1709606335.632976,3196341083
1709606335.676646,3196341083
1709606335.676969,3196341083
1709606335.678628,3196341083
1709606335.678628,3196341083
1709606335.678861,3196341083
1709606335.678916,3196341083
1709606335.678937,3196341083
1709606335.67899,3196341083
1709606335.679046,3196341083
1709606335.679068,3196341083
1709606335.680221,3196341083
1709606335.681073,3196341083
1709606335.681073,3196341083
1709606335.681073,3196341083
1709606335.681073,3196341083
1709606335.682162,3196341083
1709606335.682162,3196341083
1709606335.682755,3196341083
1709606335.683153,3196341083
1709606335.685355,3196341083
1709606335.685355,3196341083
1709606335.685472,3196341083
1709606335.685595,3196341083
1709606335.685781,3196341083
1709606335.686056,3196341083
1709606335.686359,3196341083
1709606335.686546,3196341083
1709606335.687494,3196341083
1709606335.687494,3196341083
1709606335.687736,3196341083
1709606335.6878,3196341083
1709606335.687818,3196341083
1709606335.687966,3196341083
1709606335.688651,3196341083
1709606335.688651,3196341083
1709606335.688861,3196341083
1709606335.68891,3196341083
1709606335.689204,3196341083
1709606335.68926,3196341083
1709606335.689497,3196341083
1709606335.689535,3196341083
1709606335.689594,3196341083
1709606335.689619,3196341083
1709606335.689915,3196341083
1709606335.689915,3196341083
1709606335.689915,3196341083
1709606335.690016,3196341083
1709606335.690154,3196341083
